# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
5100000 -104.294 656.91 301.477 552.616 158.382
5200000 -93.2696 656.16 301.133 562.89 157.298
5300000 -88.9199 662.895 304.224 573.975 158.924
5400000 -49.1121 642.371 294.804 593.259 160.497
5500000 -56.4903 654.456 300.351 597.966 161.223
5600000 -99.5108 648.322 297.536 548.811 161.785
5700000 -125.52 660.697 303.215 535.177 162.099
5800000 -107.544 649.867 298.245 542.322 162.747
5900000 -83.6079 640.625 294.003 557.017 164.268
6000000 -89.5916 653.481 299.903 563.889 163.967
6100000 -101.285 662.536 304.059 561.251 161.76
6200000 -77.8418 660.393 303.076 582.551 161.808
6300000 -118.373 640.722 294.048 522.349 163.691
6400000 -111.419 667.902 306.521 556.483 165.255
6500000 -125.795 660.075 302.93 534.28 165.799
6600000 -97.9656 656.527 301.301 558.562 166.229
6700000 -110.423 657.202 301.611 546.779 166.85
6800000 -85.3717 658.282 302.107 572.91 168.394
6900000 -75.2979 657.474 301.736 582.177 170.468
7000000 -66.75 642.393 294.815 575.643 171.21
7100000 -81.7349 645.763 296.361 564.028 171.531
7200000 -93.8358 657.939 301.949 564.104 173.467
7300000 -113.337 654.636 300.434 541.299 175.202
7400000 -88.5602 656.355 301.222 567.795 175.168
7500000 -92.9278 657.016 301.526 564.088 175.898
7600000 -90.3367 642.494 294.861 552.157 175.997
7700000 -105.582 654.089 300.182 548.507 176.963
7800000 -80.1229 655.134 300.662 575.011 176.293
7900000 -89.1588 653.62 299.967 564.461 176.844
8000000 -117.692 658.229 302.082 540.536 176.44
8100000 -96.7803 667.648 306.405 570.868 178.033
8200000 -89.5114 660.935 303.324 571.423 179.085
8300000 -133.745 660.199 302.987 526.454 181.006
8400000 -155.708 656.832 301.441 501.124 182.247
8500000 -124.084 652.696 299.543 528.613 182.794
8600000 -78.2532 655.566 300.86 577.313 183.658
8700000 -69.9455 663.774 304.627 593.829 184.599
8800000 -80.3315 650.493 298.532 570.161 185.805
8900000 -104.071 656.919 301.481 552.848 187.192
9000000 -98.5321 652.933 299.652 554.401 187.839
9100000 -84.5219 664.852 305.122 580.33 188.02
9200000 -92.2969 656.374 301.231 564.077 188.365
9300000 -77.4241 653.501 299.912 576.077 189.846
9400000 -100.438 638.895 293.209 538.457 190.577
9500000 -94.5277 651.512 299 556.984 191.352
9600000 -97.4294 653.795 300.047 556.366 192.611
9700000 -54.1682 647.72 297.259 593.552 193.845
9800000 -62.0175 648.483 297.61 586.466 195.754
9900000 -85.4178 653.032 299.697 567.614 197.218
10000000 -96.6612 650.233 298.413 553.572 200.159
10100000 -83.4913 656.425 301.254 572.933 201.926
10200000 -112.801 647.881 297.333 535.081 203.156
10300000 -121.471 650.429 298.503 528.958 203.101
10400000 -93.9059 648.813 297.761 554.907 204.786
10500000 -115.292 661.206 303.448 545.914 207.105
10600000 -99.2406 655.795 300.965 556.554 208.18
10700000 -74.8394 656.725 301.392 581.885 210.761
10800000 -65.6655 661.853 303.746 596.188 214.209
10900000 -106.904 665.139 305.254 558.235 215.306
11000000 -76.0539 648.341 297.545 572.287 214.647
11100000 -64.9111 659.57 302.698 594.659 214.283
11200000 -75.2636 658.469 302.192 583.205 213.576
11300000 -71.2984 653.984 300.134 582.685 215.304
11400000 -71.9778 643.462 295.306 571.485 218.757
11500000 -112.348 647.141 296.994 534.793 220.853
11600000 -111.285 649.337 298.001 538.051 221.817
11700000 -69.1676 658.446 302.182 589.278 222.192
11800000 -55.6429 659.109 302.486 603.466 223.119
11900000 -90.5671 644.206 295.647 553.639 223.762
12000000 -91.0147 654.687 300.457 563.673 224.737
12100000 -88.1988 650.597 298.58 562.398 225.779
12200000 -91.0466 655.722 300.932 564.675 226.246
12300000 -113.185 647.498 297.157 534.313 225.497
12400000 -85.6083 664.497 304.959 578.888 226.159
12500000 -133.704 650.573 298.569 516.87 228.837
12600000 -122.103 645.954 296.449 523.851 230.282
12700000 -83.0477 654.073 300.175 571.026 229.928
12800000 -64.1488 656.874 301.461 592.726 231.121
12900000 -79.6661 642.802 295.003 563.136 233.068
13000000 -41.9536 644.723 295.884 602.77 233.568
13100000 -55.9561 647.509 297.163 591.553 235.226
13200000 -60.2733 648.847 297.777 588.574 237.762
13300000 -48.6196 655.123 300.657 606.503 238.785
13400000 -45.405 648.16 297.461 602.755 239.303
13500000 -41.8095 659.421 302.629 617.611 239.742
13600000 -69.0883 651.734 299.102 582.646 239.711
13700000 -57.2754 663.854 304.664 606.579 239.245
13800000 -72.4926 654.305 300.282 581.813 240.562
13900000 -66.1473 649.024 297.858 582.877 243.055
14000000 -67.8021 664.385 304.908 596.583 243.714
14100000 -76.7052 656.574 301.323 579.869 242.575
14200000 -78.0574 652.307 299.364 574.249 242.181
14300000 -56.3157 647.04 296.948 590.725 242.198
14400000 -91.1876 670.224 307.587 579.036 242.62
14500000 -77.3795 659.086 302.475 581.706 240.59
14600000 -87.4385 652.023 299.234 564.585 240.369
14700000 -64.1345 655.315 300.745 591.181 241.732
14800000 -84.1557 651.394 298.946 567.238 243.218
14900000 -60.9918 656.021 301.069 595.03 244.722
15000000 -55.2959 657.359 301.683 602.063 246.425
15100000 -43.0518 655.032 300.615 611.98 245.709
15200000 -55.173 661.256 303.471 606.083 246
15300000 -72.989 653.607 299.961 580.618 246.231
15400000 -94.9876 655.688 300.916 560.701 248.246
15500000 -107.11 642.613 294.916 535.504 249.744
15600000 -91.3133 651.877 299.167 560.564 250.89
15700000 -83.0859 654.807 300.512 571.721 252.039
15800000 -114.508 663.553 304.526 549.045 251.991
15900000 -98.8437 653.519 299.921 554.675 251.098
16000000 -104.007 657.059 301.545 553.052 251.994
16100000 -82.3514 661.104 303.402 578.752 251.945
16200000 -81.7722 651.792 299.128 570.02 253.087
16300000 -53.1059 654.109 300.192 601.004 254.749
16400000 -64.8455 647.807 297.299 582.962 255.39
16500000 -66.2664 648.932 297.816 582.666 256.275
16600000 -90.3682 666.176 305.729 575.808 255.18
16700000 -111.187 661.499 303.583 550.312 255.567
16800000 -96.821 650.654 298.606 553.833 255.359
16900000 -65.5742 645.629 296.3 580.055 255.807
17000000 -41.1015 642.646 294.931 601.545 256.194
17100000 -58.1947 652.69 299.54 594.495 256.506
17200000 -44.1844 638.298 292.935 594.113 257.135
17300000 -69.3377 658.938 302.408 589.6 258.811
17400000 -87.3279 643.69 295.41 556.362 257.234
17500000 -79.7756 649.355 298.01 569.58 257.572
17600000 -64.3707 646.282 296.599 581.911 257.689
17700000 -70.853 643.35 295.254 572.497 258.752
17800000 -92.9266 657.094 301.562 564.168 259.4
17900000 -104.746 645.887 296.418 541.141 260.626
18000000 -51.8902 647.917 297.35 596.027 260.632
18100000 -67.9239 653.802 300.051 585.878 262.008
18200000 -67.4419 655.641 300.894 588.199 261.68
18300000 -103.363 650.172 298.385 546.809 263.424
18400000 -97.2042 659.841 302.822 562.637 265.418
18500000 -55.4985 648.332 297.54 592.833 266.503
18600000 -66.4891 653.668 299.989 587.179 265.485
18700000 -108.982 658.143 302.043 549.161 265.779
18800000 -77.5083 665.708 305.515 588.2 266.888
18900000 -91.7218 649.2 297.939 557.478 268.096
19000000 -85.5575 661.01 303.359 575.453 268.597
19100000 -110.605 654.086 300.181 543.48 269.427
19200000 -70.1663 643.172 295.172 573.006 271.142
19300000 -77.3742 653.321 299.83 575.947 272.081
19400000 -98.6599 663.201 304.364 564.541 273.577
19500000 -81.8799 654.059 300.169 572.179 273.687
19600000 -77.122 649.922 298.27 572.8 273.263
19700000 -97.0871 656.263 301.18 559.176 272.834
19800000 -92.25 649.014 297.853 556.764 272.704
19900000 -73.2102 651.968 299.209 578.758 273.455
20000000 -55.3018 657.663 301.823 602.361 274.735
20100000 -47.5568 653.142 299.748 605.585 274.578
