# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
100000 241.086 933.083 303.618 1174.17 75.7105
200000 41.3399 932.485 303.423 973.825 78.7629
300000 -60.7616 932.064 303.286 871.302 80.2517
400000 -67.1427 913.606 297.28 846.463 82.0792
500000 -74.85 928.221 302.036 853.371 84.4375
600000 -95.0122 924.868 300.945 829.856 85.8068
700000 -108.325 902.614 293.703 794.289 87.9793
800000 -114.776 917.159 298.436 802.382 89.9124
900000 -81.9274 913.715 297.316 831.788 91.0189
1000000 -123.269 913.058 297.102 789.788 92.0418
1100000 -106.025 922.255 300.095 816.23 92.3505
1200000 -90.1564 918.501 298.873 828.345 93.0159
1300000 -92.6163 928.169 302.019 835.553 94.2933
1400000 -65.6317 908.727 295.692 843.095 95.5737
1500000 -78.1175 916.687 298.283 838.569 96.6309
1600000 -86.4598 913.015 297.088 826.555 97.7639
1700000 -86.9674 923.34 300.447 836.372 98.097
1800000 -102.99 921.828 299.955 818.837 98.5378
1900000 -117.774 916.113 298.096 798.339 100.058
2000000 -109.037 914.63 297.613 805.593 102.292
2100000 -138.333 919.261 299.12 780.929 104.756
2200000 -135.199 921.412 299.82 786.213 105.197
2300000 -120.276 925.039 301 804.763 105.618
2400000 -101.559 926.415 301.448 824.856 106.42
2500000 -84.6178 927.424 301.776 842.806 107.096
2600000 -72.3207 908.019 295.462 835.699 108.255
2700000 -80.4701 908.445 295.601 827.975 109.067
2800000 -75.0632 928.829 302.234 853.765 109.76
2900000 -72.457 923.233 300.413 850.776 110.197
3000000 -78.9034 917.062 298.405 838.158 111.452
3100000 -69.9908 919.104 299.069 849.113 112.697
3200000 -73.155 913.04 297.096 839.885 112.086
3300000 -104.007 920.868 299.643 816.861 112.639
3400000 -65.2914 917.841 298.658 852.549 113.54
3500000 -37.2716 928.636 302.171 891.364 114.175
3600000 -62.7858 919.016 299.04 856.23 114.438
3700000 -108.543 929.864 302.57 821.32 114.709
3800000 -111.223 930.701 302.843 819.478 115.781
3900000 -109.7 915.526 297.905 805.826 116.893
4000000 -100.831 915.542 297.91 814.711 117.541
4100000 -145.209 916.026 298.068 770.816 117.709
4200000 -136.109 928.455 302.112 792.346 117.663
4300000 -139.879 916.724 298.295 776.845 117.811
4400000 -120.405 930.286 302.708 809.881 118.432
4500000 -102.396 933.237 303.668 830.84 118.839
4600000 -114.78 920.865 299.642 806.085 118.958
4700000 -134.291 930.756 302.861 796.464 119.452
4800000 -103.28 925.667 301.205 822.387 121.231
4900000 -123.553 917.078 298.41 793.525 122.596
5000000 -101.495 931.325 303.046 829.83 123.738
