# Time-averaged data for fix favg
# TimeStep v_vpe v_vke v_vT v_vE v_vRg
5100000 -29.3523 252.834 301.852 223.482 126.301
5200000 -16.4887 259.825 310.199 243.336 126.869
5300000 -18.9192 245.047 292.556 226.128 127.302
5400000 -7.25519 255.813 305.409 248.558 126.64
5500000 -14.8875 245.594 293.209 230.706 128.799
5600000 27.3159 252.435 301.376 279.751 128.958
5700000 15.7921 256.368 306.072 272.16 129.149
5800000 9.09593 247.273 295.213 256.369 128.913
5900000 -0.0432884 249.304 297.638 249.26 129.358
6000000 -7.51524 248.581 296.775 241.065 130.384
6100000 -13.7058 257.3 307.184 243.594 129.98
6200000 -2.60629 254.163 303.439 251.556 131.466
6300000 -7.80673 248.318 296.461 240.511 130.7
6400000 1.27589 256.678 306.442 257.954 129.894
6500000 -3.30735 253.088 302.155 249.78 129.952
6600000 15.8879 255.18 304.653 271.068 131.129
6700000 29.1291 254.611 303.974 283.74 131.814
6800000 9.86578 250.874 299.512 260.739 130.292
6900000 13.5205 254.852 304.262 268.373 132.817
7000000 -7.99183 254.614 303.978 246.622 132.161
7100000 3.84525 249.049 297.334 252.895 134.739
7200000 16.3449 247.563 295.56 263.908 136.016
7300000 17.6343 253.756 302.953 271.39 137.199
7400000 9.48034 256.047 305.689 265.528 136.325
7500000 13.4863 252.69 301.68 266.176 136.042
7600000 26.2217 244.638 292.067 270.859 139.139
7700000 18.242 250.78 299.4 269.022 139.628
7800000 11.7762 251.572 300.345 263.348 140.072
7900000 9.06625 252.979 302.025 262.045 143.771
8000000 -2.15515 244.395 291.778 242.24 143.568
8100000 1.60943 254.709 304.091 256.318 147.142
8200000 1.48189 251.236 299.945 252.718 151.72
8300000 15.0311 254.157 303.432 269.188 154.004
8400000 20.5916 247.433 295.405 268.025 155.203
8500000 18.4444 253.47 302.612 271.915 156.665
8600000 11.7798 250.874 299.512 262.653 157.763
8700000 10.2014 254.473 303.809 264.674 158.915
8800000 3.24307 247.586 295.588 250.83 160.147
8900000 15.0382 255.632 305.194 270.671 159.379
9000000 -10.7132 251.137 299.826 240.424 161.592
9100000 11.1923 254.039 303.291 265.231 163.874
9200000 9.6616 251.065 299.741 260.727 160.149
9300000 -5.8605 255.96 305.584 250.099 157.115
9400000 -13.5218 261.667 312.398 248.145 154.918
9500000 -19.9672 258.556 308.683 238.588 154.689
9600000 -31.1716 252.233 301.135 221.061 153.414
9700000 8.39403 250.372 298.914 258.767 153.258
9800000 -15.7695 259.782 310.148 244.012 155.954
9900000 -5.60514 254.683 304.06 249.078 161.363
10000000 17.2317 261.323 311.988 278.555 160.917
10100000 12.4992 253.782 302.985 266.281 165.803
10200000 12.3003 251.415 300.158 263.715 168.562
10300000 5.12977 255.719 305.297 260.849 168.374
10400000 -4.38994 247.468 295.446 243.078 169.616
10500000 -11.7285 250.77 299.389 239.042 170.652
10600000 -8.63814 247.948 296.02 239.31 171.797
10700000 -17.4294 249.824 298.259 232.394 172.753
10800000 -32.5061 248.304 296.444 215.798 174.097
10900000 -26.3101 256.998 306.824 230.688 174.964
11000000 -7.85352 254.064 303.321 246.211 177.193
11100000 -8.72664 255.629 305.189 246.902 178.354
11200000 -8.87267 245.838 293.501 236.966 178.229
11300000 -12.0154 254.222 303.51 242.207 180.257
11400000 -35.1557 250.619 299.208 215.464 180.765
11500000 -25.6923 251.44 300.188 225.747 179.54
11600000 2.18978 253.154 302.234 255.344 177.951
11700000 -9.09525 247.721 295.748 238.626 178.043
11800000 -16.3411 248.668 296.879 232.327 176.677
11900000 -13.1093 248.979 297.25 235.87 177.773
12000000 -10.5181 251.3 300.022 240.782 178.631
12100000 -3.93764 254.641 304.01 250.703 176.889
12200000 -23.0632 248.394 296.552 225.331 174.77
12300000 -20.2181 253.091 302.16 232.873 176.487
12400000 3.50725 246.315 294.069 249.822 175.198
12500000 5.7284 249.619 298.014 255.348 176.689
12600000 10.0076 251.069 299.746 261.077 178.156
12700000 -9.36664 255.917 305.533 246.55 178.8
12800000 -20.5831 247.447 295.421 226.864 182.368
12900000 10.9041 252.512 301.468 263.416 185.1
13000000 6.67599 248.982 297.253 255.658 184.853
13100000 -14.0228 249.763 298.186 235.74 185.434
13200000 -8.32374 255.404 304.92 247.08 186.031
13300000 -4.02602 250.163 298.664 246.137 187.773
13400000 0.737352 251.693 300.491 252.431 188.603
13500000 -6.84569 247.758 295.793 240.913 188.959
13600000 -6.73263 251.369 300.104 244.637 188.458
13700000 -21.3038 253.564 302.724 232.26 189.973
13800000 -7.31746 249.458 297.822 242.141 189.273
13900000 -2.37401 253.514 302.665 251.14 190.391
14000000 3.25235 251.267 299.982 254.519 191.791
14100000 2.11944 246.134 293.854 248.253 191.598
14200000 10.5117 255 304.439 265.512 193.93
14300000 4.51066 250.106 298.595 254.616 196.556
14400000 12.4749 247.187 295.111 259.662 196.597
14500000 9.45445 255.4 304.916 264.854 195.876
14600000 0.613799 246.614 294.427 247.228 198.153
14700000 22.1853 258.518 308.638 280.703 200.425
14800000 -1.75803 252.057 300.924 250.299 199.575
14900000 26.658 248.628 296.832 275.286 200.061
15000000 21.7538 253.786 302.989 275.54 202.427
15100000 19.842 253.457 302.596 273.299 204.727
15200000 15.8855 249.663 298.066 265.548 208.218
15300000 -0.293646 250.657 299.253 250.363 208.359
15400000 -25.6175 247.094 295 221.476 209.38
15500000 -18.0615 250.157 298.657 232.096 210.755
15600000 -25.1751 254.193 303.475 229.018 211.602
15700000 -35.8447 248.613 296.813 212.768 210.994
15800000 -29.9509 252.214 301.113 222.263 212.606
15900000 -18.1433 253.206 302.297 235.063 212.18
16000000 -8.58677 252.806 301.819 244.219 210.651
16100000 -10.074 252.033 300.896 241.959 210.605
16200000 0.521651 250.235 298.75 250.757 210.099
16300000 5.88618 248.993 297.267 254.879 212.984
16400000 6.06085 255.924 305.541 261.985 212.993
16500000 -9.18723 245.366 292.936 236.178 213.307
16600000 -12.7123 259.301 309.574 246.589 212.758
16700000 3.40494 247.717 295.743 251.122 213.738
16800000 2.30617 249.685 298.093 251.991 215.36
16900000 8.14129 243.425 290.619 251.566 214.897
17000000 -4.61479 248.522 296.704 243.907 213.796
17100000 6.9196 250.967 299.623 257.886 215.077
17200000 19.5275 246.943 294.819 266.47 218.231
17300000 17.6049 246.322 294.078 263.927 220.788
17400000 34.2299 249.187 297.499 283.417 221.765
17500000 38.7827 254.942 304.369 293.725 223.013
17600000 19.5216 248.794 297.03 268.316 223.598
17700000 -16.3122 253.233 302.329 236.921 225.304
17800000 -7.81489 253.145 302.223 245.33 225.031
17900000 -13.6777 251.812 300.632 238.134 226.361
18000000 -1.71151 246.878 294.742 245.167 228.304
18100000 7.11882 252.445 301.389 259.564 226.882
18200000 -7.30964 253.559 302.718 246.249 226.26
18300000 -8.15128 250.533 299.105 242.382 227.243
18400000 -12.7425 243.21 290.363 230.467 228.596
18500000 -9.03124 257.405 307.31 248.374 229.068
18600000 7.06867 247.378 295.338 254.446 228.752
18700000 1.73497 250.879 299.518 252.613 230.649
18800000 -5.82796 245.325 292.887 239.497 231.651
18900000 15.2824 251.049 299.722 266.332 231.357
19000000 20.659 257.622 307.569 278.281 233.529
19100000 18.8521 253.011 302.063 271.863 235.939
19200000 7.50027 248.478 296.652 255.978 235.893
19300000 9.83851 246.654 294.474 256.492 237.435
19400000 26.6852 248.567 296.758 275.252 240.341
19500000 24.7709 255.782 305.372 280.553 243.01
19600000 17.7825 257.165 307.023 274.948 241.145
19700000 -12.4105 248.971 297.241 236.56 240.725
19800000 -5.65497 244.918 292.402 239.263 242.991
19900000 -10.4256 248.776 297.008 238.351 243.017
20000000 -28.5298 250.062 298.543 221.532 242.941
20100000 -10.721 252.837 301.856 242.116 244.615
20200000 -0.94657 249.234 297.554 248.287 243.887
20300000 -3.72082 250.486 299.049 246.765 242.378
20400000 -18.1517 255.93 305.549 237.779 244.283
20500000 -3.84559 255.459 304.987 251.614 244.073
20600000 -23.9472 254.47 303.806 230.523 242.76
20700000 -15.9955 257.637 307.587 241.642 242.434
20800000 -10.6686 255.511 305.048 244.842 243.744
20900000 2.94865 247.459 295.436 250.408 242.824
21000000 11.7903 254.441 303.772 266.232 243.875
21100000 29.2624 249.636 298.035 278.898 244.369
21200000 19.1901 250.992 299.654 270.182 242.465
21300000 14.5676 255.597 305.151 270.164 241.355
21400000 28.2806 252.309 301.225 280.589 240.318
21500000 30.9694 250.932 299.582 281.901 239.188
21600000 -6.4021 252.234 301.136 245.832 239.577
21700000 -22.7449 257.223 307.092 234.478 240.296
21800000 -20.779 251.599 300.378 230.82 238.289
21900000 -15.0611 248.693 296.909 233.632 241.125
22000000 -21.9572 252.511 301.467 230.554 242.901
22100000 -3.63785 253.934 303.166 250.296 244.498
22200000 6.63132 251.579 300.355 258.211 246.082
22300000 8.60628 248.229 296.354 256.835 246.949
22400000 -12.385 254.159 303.435 241.774 247.987
22500000 -0.325077 257.149 307.004 256.824 249.661
22600000 6.49074 255.644 305.208 262.135 251.103
22700000 0.290962 253.975 303.215 254.266 251.479
22800000 6.61687 254.6 303.961 261.217 250.213
22900000 8.1869 248.957 297.224 257.144 248.986
23000000 2.20813 252.949 301.989 255.157 248.23
23100000 3.221 254.019 303.268 257.24 249.486
23200000 12.9398 252.1 300.976 265.04 249.344
23300000 26.2583 256.3 305.99 282.558 248.494
23400000 24.5095 251.44 300.188 275.949 250.362
23500000 20.2364 246.693 294.52 266.929 251.706
23600000 55.36 251.482 300.239 306.842 252.679
23700000 57.1787 246.728 294.563 303.907 251.111
23800000 53.4541 251.891 300.727 305.345 250.321
23900000 47.1536 249.806 298.237 296.959 251.509
24000000 60.5332 248.555 296.744 309.088 254.966
24100000 68.594 258.163 308.215 326.757 253.001
24200000 55.423 245.715 293.354 301.138 250.271
24300000 69.2306 249.715 298.129 318.945 250.292
24400000 78.7278 254.167 303.444 332.894 250.167
